county,state,youth_share,elderly_share,owneroccupied_units,medianval_ownerunits,pper_household,language_otherenglish,education_bachelorsorhigher,without_insuranceunder65,income_percapita,population_density,disability_prevalence,dependency_ratio,minority_share,hispanic_share,cluster
carbon county,pennsylvania,18.5,23.5,76.4,211400,2.37,6.3,19.2,6.7,36548,169.8,16.6,42,6.1,8,Medium Risk: Older White Homeowner Communities
cameron county,pennsylvania,18,30.4,72.4,88900,1.98,1.2,12.6,6.7,31722,11.5,24.7,48.4,3.8,2.2,Medium Risk: Older White Homeowner Communities
cambria county,pennsylvania,19,24.9,76.4,121000,2.23,2.6,23.9,5.2,34692,194.1,18.1,43.9,7.7,2.5,Medium Risk: Older White Homeowner Communities
butler county,pennsylvania,18.7,22,76.9,294200,2.37,3.7,39.4,4.2,49125,245.4,13.2,40.7,5.1,2.2,Low Risk: Educated Urban Communities
bucks county,pennsylvania,19.6,21.8,77.8,445700,2.56,13.4,44.8,4.6,59022,1069.8,10.9,41.4,13.8,7.1,Low Risk: Educated Urban Communities
bradford county,pennsylvania,22,23.4,72.2,187500,2.4,2.5,20.6,6.8,35860,52.3,14.5,45.4,3.8,2,Medium Risk: Older White Homeowner Communities
blair county,pennsylvania,19.8,22.4,72.4,161100,2.32,3.3,24.4,6.5,35639,233.8,15.9,42.2,5.4,1.8,Medium Risk: Older White Homeowner Communities
berks county,pennsylvania,21.7,18.7,71.3,257300,2.57,21.3,27.7,8.3,39815,500.8,14,40.4,15.5,26.6,Low Risk: Educated Urban Communities
bedford county,pennsylvania,19.3,25.2,77.5,179000,2.38,3,16.1,7.9,32665,47,16.2,44.5,2.8,1.8,Medium Risk: Older White Homeowner Communities
beaver county,pennsylvania,19,23.6,75,190900,2.26,3.3,28.7,5.1,40640,387,15.6,42.6,10.5,2.6,Medium Risk: Older White Homeowner Communities
armstrong county,pennsylvania,18.6,25.3,78.8,157300,2.28,2.7,19,5.6,35893,100.3,16.9,43.9,2.9,1.1,Medium Risk: Older White Homeowner Communities
allegheny county,pennsylvania,18.3,21.2,65.2,227600,2.2,8.5,45.8,4.8,49588,1713.2,13.8,39.5,21.5,3.3,Low Risk: Educated Urban Communities
adams county,pennsylvania,18.9,23,78.9,268500,2.49,6.7,25.8,6.8,40973,200.2,14.2,41.9,5.9,8.3,Medium Risk: Older White Homeowner Communities
baker county,oregon,19.4,28.2,72.8,247700,2.2,2.6,27,6.8,35829,5.4,21.9,47.6,6.9,5.9,Medium Risk: Older White Homeowner Communities
benton county,oregon,14.9,19.1,56,481700,2.4,12.9,54.4,5.5,42112,141,12.4,34,14.6,9.8,Low Risk: Educated Urban Communities
clackamas county,oregon,20.2,21,71.3,577900,2.6,12.2,39.7,5.2,51666,225.3,12.7,41.2,13.7,10.7,Low Risk: Educated Urban Communities
clatsop county,oregon,17.3,26.6,61.7,437800,2.2,6.2,26.3,7.3,40991,49.6,20,43.9,8.4,10.8,Medium Risk: Older White Homeowner Communities
columbia county,oregon,20,21.4,75.7,390600,2.6,4.3,19.2,6.2,39526,79.8,16.7,41.4,8.6,7.4,Medium Risk: Older White Homeowner Communities
coos county,oregon,16.9,29.5,70.7,302800,2.2,5.2,21.7,7.5,35153,40.7,23.3,46.4,10.4,7.9,Medium Risk: Older White Homeowner Communities
crook county,oregon,19.4,26.1,75.6,423300,2.4,5.6,22.5,6.1,41804,8.3,18.7,45.5,6.2,8.4,Medium Risk: Older White Homeowner Communities
curry county,oregon,13.7,38.7,74.8,366700,2.1,7.2,24.2,8.1,40421,14.4,21.9,52.4,9.4,8.1,Medium Risk: Older White Homeowner Communities
deschutes county,oregon,18.2,22.2,70.7,596000,2.4,7.8,43.4,6.3,50150,65.7,12,40.4,7,9.9,Low Risk: Educated Urban Communities
douglas county,oregon,18.9,27.1,71.8,283200,2.4,3.9,18.9,6.3,33510,22.1,21.6,46,8.5,7.2,Medium Risk: Older White Homeowner Communities
gilliam county,oregon,19.2,31.7,75.6,158400,2.3,5.6,20.9,7.6,34999,1.7,17.3,50.9,7.9,6.4,Medium Risk: Older White Homeowner Communities
grant county,oregon,18.2,32.7,80.6,225100,2.1,2.2,19.7,8.5,34924,1.6,24.3,50.9,7.2,4.3,Medium Risk: Older White Homeowner Communities
harney county,oregon,19.7,28.2,67.2,190600,2.3,5.3,15.6,7.7,27919,0.7,18.7,47.9,10.3,6,Medium Risk: Older White Homeowner Communities
hood river county,oregon,20.8,20,68.1,571200,2.6,28.4,39.4,10,46105,45.9,12.6,40.8,7.9,31.4,Low Risk: Educated Urban Communities
jackson county,oregon,19.9,24.5,65,400200,2.4,9.7,30.6,7.8,38797,80.2,16.4,44.4,9.3,15.6,Medium Risk: Older White Homeowner Communities
jefferson county,oregon,21.8,20.9,71.4,339200,2.8,17,20,7.3,32299,13.8,17.9,42.7,24.1,22.3,Medium Risk: Older White Homeowner Communities
josephine county,oregon,19.1,28,71.7,383100,2.4,5,19.7,7.5,34176,53.8,20.7,47.1,8.5,9.5,Medium Risk: Older White Homeowner Communities
klamath county,oregon,21.5,23,68.7,255700,2.4,8.8,21.5,7.1,32939,11.7,19.5,44.5,12.7,15,Medium Risk: Older White Homeowner Communities
lake county,oregon,20.3,26.1,61.5,219400,2.3,9.7,20.9,9.1,32783,1,16.8,46.4,9.4,11.8,Medium Risk: Older White Homeowner Communities
lane county,oregon,17,21.8,59.4,395800,2.3,8.6,33.4,7.1,38563,84.1,17.1,38.8,12.1,11.1,Low Risk: Educated Urban Communities
lincoln county,oregon,14.9,33.2,71.4,387700,2.2,9.1,28.8,8.4,37265,51.4,22.4,48.1,11.6,11,Medium Risk: Older White Homeowner Communities
linn county,oregon,21.5,20,67,344600,2.5,7.9,20.8,6.8,34422,56.2,18.5,41.5,8.9,11.4,Medium Risk: Older White Homeowner Communities
malheur county,oregon,25.6,17.3,63.4,221300,2.8,20.7,15.5,10.2,23814,3.2,15.1,42.9,9,35.2,Extreme Risk: Hispanic Immigrant Communities
marion county,oregon,22.8,17.3,62.2,383300,2.7,25.3,26,10.5,35452,292.9,15.6,40.1,13.4,30.4,Low Risk: Educated Urban Communities
morrow county,oregon,26.5,17.6,70.9,229800,2.8,34.2,9.8,10.1,30787,6,16.6,44.1,9.1,43.3,Extreme Risk: Hispanic Immigrant Communities
multnomah county,oregon,17,15.4,54.1,528000,2.3,19.1,48.6,6,52354,1891.2,13.7,32.4,22.7,14.4,Low Risk: Educated Urban Communities
polk county,oregon,20.9,19.6,64.6,419500,2.7,11.3,30.6,6.3,39423,118,16.4,40.5,11.7,16.5,Low Risk: Educated Urban Communities
sherman county,oregon,21.7,26.4,67.1,206700,2.4,3.2,16.1,6.3,33190,2.3,22.5,48.1,7.3,7,Medium Risk: Older White Homeowner Communities
tillamook county,oregon,17.7,29.3,73.2,408600,2.3,9.2,25.1,7.8,37336,24.8,20.4,47,7.5,12.1,Medium Risk: Older White Homeowner Communities
umatilla county,oregon,24,16.7,67.1,256100,2.7,22.8,18,9.2,31371,24.9,18.2,40.7,10.5,31.1,Extreme Risk: Hispanic Immigrant Communities
union county,oregon,21.4,22.2,64.6,260500,2.4,5,24.9,6.9,34745,12.9,17.5,43.6,8.4,5.9,Medium Risk: Older White Homeowner Communities
wallowa county,oregon,19.6,29.8,76.4,371900,2.2,3.9,36.9,7.9,37963,2.3,19.6,49.4,5.4,4.7,Medium Risk: Older White Homeowner Communities
wasco county,oregon,21.1,22.1,66.2,332500,2.4,17.9,21.8,9,36582,11.2,17.9,43.2,9.9,22.3,Medium Risk: Older White Homeowner Communities
washington county,oregon,20.7,15.6,60.9,558500,2.6,25.1,46.7,5.9,52136,828.9,11,36.3,24,19.3,Low Risk: Educated Urban Communities
wheeler county,oregon,12.6,38.8,69.2,259000,2.1,5.2,20.4,7.6,33337,0.8,27.2,51.4,9,7,Medium Risk: Older White Homeowner Communities
yamhill county,oregon,20.1,20,69.9,442700,2.6,12.9,29.2,7.3,40615,150.5,16.1,40.1,9.8,18.7,Low Risk: Educated Urban Communities
adair county,oklahoma,26.8,15.8,68,111500,2.8,7.2,11.8,14.3,22115,34,22.2,42.6,57.7,8.4,High Risk: Rural Minority Communities
alfalfa county,oklahoma,19.2,20.7,78.7,103000,2.4,3.8,20.7,15.8,29173,6.6,17.7,39.9,15.4,7,Medium Risk: Older White Homeowner Communities
atoka county,oklahoma,20.8,19.8,75.8,138000,2.7,3.9,15.3,19.3,25392,14.5,22.7,40.6,30.3,4.8,High Risk: Rural Minority Communities
beaver county,oklahoma,23.5,20.5,79.7,117900,2.9,24.3,23,19.2,30136,2.8,16.1,44,10.2,31.4,Extreme Risk: Hispanic Immigrant Communities
beckham county,oklahoma,23.2,16.4,66.4,153400,2.3,8.8,13.3,16.1,26675,24.9,14.7,39.6,14.3,14.6,Medium Risk: Older White Homeowner Communities
blaine county,oklahoma,25.8,20.2,71.4,126200,2.3,11.9,18,13.4,30319,9.4,16.4,46,20.4,14.4,Medium Risk: Older White Homeowner Communities
bryan county,oklahoma,23.7,17.2,63.6,163700,2.5,5.2,24.4,16.7,28998,50.9,20,40.9,26.8,8.9,High Risk: Rural Minority Communities
caddo county,oklahoma,22.9,15.8,70.3,109900,2.8,10.1,15.5,13.4,25741,21.1,19.3,38.7,35,17.8,High Risk: Rural Minority Communities
canadian county,oklahoma,25,14.1,74.8,230300,2.8,9.5,31.8,11.3,37984,172.2,14.1,39.1,20.1,13.1,Low Risk: Educated Urban Communities
carter county,oklahoma,24.5,17.6,67.7,153500,2.5,6.7,20,14.6,32628,58.4,22.4,42.1,26.6,9.5,High Risk: Rural Minority Communities
cherokee county,oklahoma,21,18.3,65.8,160300,2.5,8.2,29.4,17.3,30080,62.8,20.6,39.3,49.7,8.7,High Risk: Rural Minority Communities
choctaw county,oklahoma,24,21.7,65.7,119700,2.4,4.6,15.2,15.9,26272,18.4,26,45.7,39.7,5.8,High Risk: Rural Minority Communities
cimarron county,oklahoma,26.9,25,77.2,94500,3.2,24.2,31.7,18.1,35550,1.3,28.7,51.9,6.7,26.8,Extreme Risk: Hispanic Immigrant Communities
cleveland county,oklahoma,19.7,15.9,64.1,222800,2.5,11.2,35.6,11.3,38544,548.4,14.9,35.6,23.6,11.7,Low Risk: Educated Urban Communities
coal county,oklahoma,24.4,20.6,70.8,92500,2.5,4.8,16.8,16.7,27073,10.2,24.5,45,34.9,4.9,High Risk: Rural Minority Communities
comanche county,oklahoma,23.5,14.8,55,154300,2.5,10.8,24.2,11.8,30670,113.3,21.3,38.3,34.8,15.4,High Risk: Rural Minority Communities
cotton county,oklahoma,22.6,21.4,79.6,113200,2.6,6,20.9,13.4,32744,8.7,26,44,20.8,8.5,Medium Risk: Older White Homeowner Communities
craig county,oklahoma,23,19.5,73.2,132900,2.5,3.7,14.9,14.5,26443,18.5,22.5,42.5,36.3,4.6,High Risk: Rural Minority Communities
creek county,oklahoma,23,19.1,74.5,170900,2.6,3.6,18.4,12.9,31986,75.5,15.2,42.1,22.2,6,Medium Risk: Older White Homeowner Communities
custer county,oklahoma,24.7,15.2,64.2,177000,2.5,13.5,33.3,16,31487,28.8,12.5,39.9,18.1,20.7,Extreme Risk: Hispanic Immigrant Communities
delaware county,oklahoma,19.5,26.3,75.9,164900,2.4,4.1,19.2,16.6,35376,54.8,21.8,45.8,34.5,4.9,High Risk: Rural Minority Communities
dewey county,oklahoma,26.3,19.5,74.7,118200,2.7,3.3,19.8,14.7,30044,4.5,18.6,45.8,14.8,6.2,Medium Risk: Older White Homeowner Communities
ellis county,oklahoma,22,24.6,82.3,122500,2.5,6.6,20,16.6,31354,3,20.2,46.6,8,10.8,Medium Risk: Older White Homeowner Communities
garfield county,oklahoma,25.5,17.2,64.6,149800,2.5,12.4,22.3,15.7,33818,59.4,18.3,42.7,17.5,15.9,Medium Risk: Older White Homeowner Communities
garvin county,oklahoma,25,17.9,68.1,132600,2.6,6.3,17.7,15.6,30253,32,16,42.9,20,11.3,High Risk: Rural Minority Communities
grady county,oklahoma,22.8,17.6,75.3,187900,2.7,3.6,21.9,12,36380,49.8,18.9,40.4,15.4,7.9,Medium Risk: Older White Homeowner Communities
grant county,oklahoma,24.2,22.5,75.1,79500,2.6,2.9,22.7,13.8,33181,4.2,19.7,46.7,10.5,5,Medium Risk: Older White Homeowner Communities
greer county,oklahoma,20.4,17.5,77.8,103600,2.2,6.1,15.3,15.1,25141,8.6,19.2,37.9,18.4,13.5,Medium Risk: Older White Homeowner Communities
harmon county,oklahoma,25.3,21.3,72,75700,2.5,16.4,16.3,18,31601,4.6,20.5,46.6,20.5,33.8,Extreme Risk: Hispanic Immigrant Communities
harper county,oklahoma,23.2,21.1,80.3,99300,2.5,22,26.6,19.3,27360,3.2,16.8,44.3,7.4,27,Extreme Risk: Hispanic Immigrant Communities
haskell county,oklahoma,23.7,20.4,77.2,122300,2.5,4.5,15.2,15.5,27045,20,21.1,44.1,29.6,5.9,High Risk: Rural Minority Communities
hughes county,oklahoma,21.4,18.8,72.8,94900,3,8.3,15.1,16.3,20300,16.6,20.2,40.2,35.4,6.5,High Risk: Rural Minority Communities
jackson county,oklahoma,24.6,16.6,61.3,145000,2.5,16.9,24.2,14.1,32371,30.9,15.8,41.2,17.4,26.1,Extreme Risk: Hispanic Immigrant Communities
jefferson county,oklahoma,23.9,20.8,72.4,77500,2.4,7,15.7,15.1,30984,7,27.5,44.7,15.9,11.4,Medium Risk: Older White Homeowner Communities
johnston county,oklahoma,22.9,19,70.2,110700,2.5,3.9,21.3,12.5,25352,16,24.9,41.9,29.6,6.2,High Risk: Rural Minority Communities
kay county,oklahoma,24.4,19.9,67.7,116800,2.5,6.3,18.5,14.1,31190,47.5,18.8,44.3,22.4,9.5,High Risk: Rural Minority Communities
kingfisher county,oklahoma,26.7,17,72,206400,2.7,14.6,22.8,15,37251,16.9,11.9,43.7,11.1,19.7,Medium Risk: Older White Homeowner Communities
kiowa county,oklahoma,24,21.2,71.3,90300,2.5,7.4,18.4,14.1,24928,8.4,22.5,45.2,19.7,13.1,Medium Risk: Older White Homeowner Communities
latimer county,oklahoma,22.4,22.5,70.5,103300,2.4,2.4,10.4,12.5,24934,13.1,22.2,44.9,36.8,4.4,High Risk: Rural Minority Communities
le flore county,oklahoma,24.5,18.2,72,121600,2.7,6.5,14.8,16.9,24847,30.3,21,42.7,25.1,8.4,High Risk: Rural Minority Communities
lincoln county,oklahoma,23.2,19.9,80.3,152000,2.6,1.8,15.5,13.7,31303,35.1,20.4,43.1,16.9,4.6,Medium Risk: Older White Homeowner Communities
logan county,oklahoma,21.1,18.6,85.8,234300,2.8,6.4,30.5,13,39863,66.6,15.9,39.7,17.5,9.6,Medium Risk: Older White Homeowner Communities
love county,oklahoma,23.7,18.7,72.9,167500,2.7,14.6,16,15.5,31136,19.7,22.2,42.4,17,19.6,Medium Risk: Older White Homeowner Communities
major county,oklahoma,25.1,21.8,79.8,134700,2.4,7,18,15.8,34641,8.1,17.9,46.9,9.9,12.2,Medium Risk: Older White Homeowner Communities
marshall county,oklahoma,22.3,22.9,79.6,139700,2.7,14.5,16.9,18.3,27759,41.2,22.3,45.2,20.8,19.4,High Risk: Rural Minority Communities
mayes county,oklahoma,23,19.5,74.3,171900,2.6,5,16.5,14.2,30528,59.6,24.1,42.5,34.8,4.1,High Risk: Rural Minority Communities
mcclain county,oklahoma,24.5,16,78.5,233900,2.7,6.8,28,12.5,39352,73,14.5,40.5,16.1,10.6,Medium Risk: Older White Homeowner Communities
mccurtain county,oklahoma,26.4,17.4,71.8,126100,2.7,7.6,15.5,15,25818,16.6,22.3,43.8,37.6,7.6,High Risk: Rural Minority Communities
mcintosh county,oklahoma,20.3,25.2,77.2,135800,2.5,3.7,14.4,16,27068,30.6,25.4,45.5,31.7,3.9,High Risk: Rural Minority Communities
murray county,oklahoma,22.2,22,71.7,154900,2.7,3.7,17.8,13.9,33997,33.4,21.8,44.2,25.7,7.8,High Risk: Rural Minority Communities
muskogee county,oklahoma,24.2,17.3,66.4,138800,2.4,5.3,19,13.8,27090,81.8,23.8,41.5,41.6,8,High Risk: Rural Minority Communities
noble county,oklahoma,22.1,21.9,79.9,142600,2.5,2.9,20.3,11.8,33482,14.9,18.1,44,18.9,5.5,Medium Risk: Older White Homeowner Communities
nowata county,oklahoma,23.3,20,73.2,121900,2.5,2,16.4,12.2,30575,16.5,20.2,43.3,33.6,3.5,High Risk: Rural Minority Communities
okfuskee county,oklahoma,22.8,18.1,71.1,110800,2.5,5.7,13.1,15.2,24325,18.3,20.7,40.9,37.8,4.8,High Risk: Rural Minority Communities
oklahoma county,oklahoma,24.9,15.1,58.6,207800,2.4,18.4,35.1,14.9,38438,1123.3,14.2,40,30.8,21,Low Risk: Educated Urban Communities
okmulgee county,oklahoma,23.5,18.7,70,114600,2.5,3.7,17.3,14.3,28980,52.6,21.3,42.2,35.4,5.6,High Risk: Rural Minority Communities
osage county,oklahoma,20.3,22.5,78.3,172300,2.6,3.2,21.5,13.3,32096,20.4,20.6,42.8,34,5.1,High Risk: Rural Minority Communities
ottawa county,oklahoma,25.2,18,67.3,114300,2.5,5.4,15,14.8,24911,64.3,21.4,43.2,33.6,6.7,High Risk: Rural Minority Communities
pawnee county,oklahoma,23.4,20.3,78.2,125700,2.6,2.7,16.3,14.4,28961,27.4,18.2,43.7,22.8,4.6,High Risk: Rural Minority Communities
payne county,oklahoma,18,13.8,50.9,217700,2.3,8.7,40.1,13.9,28980,119.2,13.2,31.8,21.5,6.8,Low Risk: Educated Urban Communities
pittsburg county,oklahoma,22.3,20.5,71.4,146300,2.4,3.7,19.7,14.7,29823,33.5,22.8,42.8,28.6,6.2,High Risk: Rural Minority Communities
pontotoc county,oklahoma,24.9,17.7,66.4,170500,2.5,3.7,29.7,13.8,32176,52.8,14.6,42.6,33.8,7.1,High Risk: Rural Minority Communities
pottawatomie county,oklahoma,22.8,17.3,69.9,155700,2.6,4.3,21,13.6,29013,92,19.5,40.1,26.1,6.9,High Risk: Rural Minority Communities
pushmataha county,oklahoma,21.5,23.2,75.8,116800,2.4,3.2,14.3,17.3,25596,7.7,28.9,44.7,28.5,5,High Risk: Rural Minority Communities
roger mills county,oklahoma,23.7,24.2,81.2,152600,2.4,3.9,23.9,14.9,44404,3,19.7,47.9,13.4,8.3,Medium Risk: Older White Homeowner Communities
rogers county,oklahoma,23,18,77.8,222200,2.7,6,25.6,11.7,38122,140.9,16.8,41,26,6.8,Medium Risk: Older White Homeowner Communities
seminole county,oklahoma,24.1,18.8,69.6,91200,2.6,3.7,15.1,15.7,24102,37.2,24.1,42.9,33.7,6.4,High Risk: Rural Minority Communities
sequoyah county,oklahoma,24.1,18.9,71,127500,2.6,5.3,15.2,14.8,25683,58.3,24.4,43,35.9,5.4,High Risk: Rural Minority Communities
stephens county,oklahoma,22.2,21.3,74.5,135100,2.5,5.2,19.5,13.9,34244,49.2,20.8,43.5,15.1,9.5,Medium Risk: Older White Homeowner Communities
texas county,oklahoma,28.6,12.7,69.4,155600,3,45.6,24.4,21.8,25716,10.5,11.6,41.3,13.1,54.1,Extreme Risk: Hispanic Immigrant Communities
tillman county,oklahoma,22.7,21.3,74.9,71900,2.5,13,17.3,16.8,26396,8,25.9,44,18.6,27.7,Extreme Risk: Hispanic Immigrant Communities
tulsa county,oklahoma,24.6,15.7,59.7,213500,2.5,16.3,33.7,14.2,39673,1173.7,13.6,40.3,29.5,16.8,Low Risk: Educated Urban Communities
wagoner county,oklahoma,23.2,17.6,81,216000,2.8,8.1,26.9,12.7,36851,144.1,17.9,40.8,24.7,9.8,Medium Risk: Older White Homeowner Communities
washington county,oklahoma,23.9,20.7,71.8,160900,2.5,6.3,30.5,12.5,34969,126.2,18,44.6,23.7,7.4,Medium Risk: Older White Homeowner Communities
washita county,oklahoma,24.1,20.4,75,113300,2.6,5.3,20.4,15.4,32254,10.9,22.7,44.5,11.1,10.2,Medium Risk: Older White Homeowner Communities
woods county,oklahoma,20.8,17.6,64.4,141900,2.2,4.7,32.5,11.3,29460,6.7,16.8,38.4,12.3,7.8,Medium Risk: Older White Homeowner Communities
woodward county,oklahoma,23.7,17.9,71.9,178000,2.4,10.8,21.6,14.8,35404,16.5,17.2,41.6,10.2,15.6,Medium Risk: Older White Homeowner Communities
wyandot county,ohio,21.4,21.8,74.1,163400,2.37,1.3,19.6,6,35837,53.8,13.9,43.2,3.2,3.2,Medium Risk: Older White Homeowner Communities
wood county,ohio,19.7,17.5,64.4,227600,2.33,5.8,36.5,5.5,42918,214.3,12.7,37.2,8.1,6.9,Low Risk: Educated Urban Communities
williams county,ohio,21.6,21.2,76.3,150000,2.31,3.5,13.7,7.5,32405,88.2,17.2,42.8,4.1,5.6,Medium Risk: Older White Homeowner Communities
wayne county,ohio,23.6,19.9,76.6,222100,2.53,14.1,25.1,11.7,35229,210.7,12.7,43.5,5.3,2.6,Medium Risk: Older White Homeowner Communities
washington county,ohio,19.3,23.2,75.4,185600,2.32,2.2,21.9,7.8,35495,94.6,16.6,42.5,4.7,1.4,Medium Risk: Older White Homeowner Communities
warren county,ohio,23.3,16.7,79.4,349400,2.66,10.8,45.6,5,53621,603.7,10.4,40,15.1,3.8,Low Risk: Educated Urban Communities
vinton county,ohio,21.5,20,75.5,150000,2.36,2.8,13.4,9.5,29951,31,22.1,41.5,3.6,1.1,Medium Risk: Older White Homeowner Communities
van wert county,ohio,22.9,21,82.1,152000,2.47,2.9,17.1,6.3,34583,70.7,13.9,43.9,4.2,4.8,Medium Risk: Older White Homeowner Communities
union county,ohio,23.8,13.9,79.2,344900,2.67,7.9,39.2,4.5,50711,145.4,10.6,37.7,12.8,4.3,Low Risk: Educated Urban Communities
tuscarawas county,ohio,23.1,21,68.9,185400,2.37,8.8,19.8,9.6,33617,164.4,15.4,44.1,4.3,5.1,Medium Risk: Older White Homeowner Communities
trumbull county,ohio,20.4,23.1,71.3,141800,2.28,4.7,20.9,8.8,32429,326.8,17.4,43.5,12.6,2.5,Medium Risk: Older White Homeowner Communities
summit county,ohio,20.3,20.4,67.5,208700,2.29,7.3,35.8,6.7,43061,1309.2,13.6,40.7,23.7,3,Low Risk: Educated Urban Communities
stark county,ohio,21.3,21.4,69.2,186400,2.35,3.1,25.9,6.7,36762,651.6,14,42.7,13.1,3.3,Low Risk: Educated Urban Communities
shelby county,ohio,24.2,19,73.7,208100,2.51,1.7,21.4,6.8,37984,118.3,14.1,43.2,6.8,1.9,Medium Risk: Older White Homeowner Communities
seneca county,ohio,21.1,20.3,73.4,154700,2.34,2.6,20.6,6.7,33984,99.9,14.9,41.4,7.2,6.2,Medium Risk: Older White Homeowner Communities
scioto county,ohio,21.4,19.4,68.4,137900,2.4,1.5,18.2,7.3,28749,121.3,22,40.8,6.3,1.8,Medium Risk: Older White Homeowner Communities
sandusky county,ohio,21.3,21.3,73.4,160700,2.34,5,18.4,6.4,35064,144.3,16.6,42.6,7.9,11.6,Medium Risk: Older White Homeowner Communities
ross county,ohio,20.6,18.9,69.6,171500,2.39,1.8,17.4,7.2,32544,111.9,18.8,39.5,9.7,1.5,Medium Risk: Older White Homeowner Communities
richland county,ohio,21.4,20.8,67.9,164800,2.36,4.7,17.9,8.2,31336,252.3,16,42.2,13.6,2.5,Medium Risk: Older White Homeowner Communities
putnam county,ohio,25.3,20.2,87.1,201100,2.58,3.4,26.4,5.9,39590,71.4,9.7,45.5,2.9,7,Medium Risk: Older White Homeowner Communities
preble county,ohio,21.8,21.1,79.7,180900,2.42,1.5,18.5,6.8,34711,96.6,15.4,42.9,3.7,1.2,Medium Risk: Older White Homeowner Communities
portage county,ohio,17.7,19.3,70.1,227000,2.37,4.5,32.5,6.3,40483,331.9,13.1,37,11.2,2.4,Low Risk: Educated Urban Communities
pike county,ohio,23.2,19.5,68.5,163800,2.45,1.5,16.3,8.6,32737,61.5,23.9,42.7,5,1.1,Medium Risk: Older White Homeowner Communities
pickaway county,ohio,21.4,16.7,74,256800,2.56,1.6,21.7,7,35587,116.8,15.1,38.1,7.3,2.3,Medium Risk: Older White Homeowner Communities
perry county,ohio,22.9,19.3,76.4,191100,2.62,2.9,16.2,8,32288,86.8,17.1,42.2,3.3,1,Medium Risk: Older White Homeowner Communities
paulding county,ohio,23.3,20.6,80.1,140800,2.45,3.2,16.9,7.5,36594,45.2,16.8,43.9,4.4,6.4,Medium Risk: Older White Homeowner Communities
ottawa county,ohio,16.8,28.9,83.6,219900,2.13,2.4,29.5,6.7,49306,158.5,15.7,45.7,3.9,5.4,Medium Risk: Older White Homeowner Communities
noble county,ohio,18.7,31.4,83.5,163600,2.57,3.7,15.7,9.4,30878,35.5,20,50.1,5.5,1.4,Medium Risk: Older White Homeowner Communities
muskingum county,ohio,22.4,19.5,68.2,182200,2.46,2.5,20.6,7.3,32809,130,15.7,41.9,8.4,1.4,Medium Risk: Older White Homeowner Communities
morrow county,ohio,21.4,20,81.2,222300,2.61,6.3,19.4,8.8,36803,86.1,15.7,41.4,3.7,2.2,Medium Risk: Older White Homeowner Communities
morgan county,ohio,20.2,23.1,78.9,150900,2.36,3.6,14.4,8.6,30055,33.1,19.9,43.3,8.1,1.3,Medium Risk: Older White Homeowner Communities
